sno,question,option1,option2,option3,option4,multiple,correct-options,images,codeLang,codeContent
31,What is a conditional statement?,Controls program flow,Loops through data,Declares variables,Handles errors,FALSE,1,0,,
32,What is debugging?,Finding and fixing errors,Writing code,Testing code,Deploying code,FALSE,1,0,,
33,What is recursion?,Function calling itself,Iterative loop,Conditional statement,Error handling,FALSE,1,0,,
34,What is the difference between linear and non-linear data structures?,Linear has sequential access,Non-linear has random access,Linear is faster,Non-linear is fixed size,FALSE,1,0,,
35,What is time complexity?,Measure of algorithm efficiency,Memory usage,Code length,Error rate,FALSE,1,0,,
36,What is version control used for?,Track code changes,Debug code,Optimize code,Run code,FALSE,1,0,,
37,What is the difference between SQL and NoSQL databases?,SQL is relational; NoSQL is non-relational,SQL is faster,NoSQL is structured,SQL is non-relational,FALSE,1,0,,
38,What is a design pattern?,Reusable solution template,Code syntax,Database schema,Hardware configuration,FALSE,1,0,,
39,How to handle exceptions in code?,Use try-catch blocks,Ignore errors,Print error messages,Exit program,FALSE,1,0,,
40,How to find the GCD of two numbers?,Use Euclidean algorithm,Divide and check,Multiply numbers,Use loops,FALSE,1,0,,
41,How to check if a number is a perfect number?,Sum proper divisors,Check if prime,Divide by 2,Count digits,FALSE,1,0,,
42,How to implement bubble sort?,Swap adjacent elements,Divide and conquer,Use pointers,Randomize array,FALSE,1,0,,
43,How to implement merge sort?,Divide and merge subarrays,Swap elements,Use recursion,Sort in-place,TRUE,1|3,0,,
44,How to find the factorial of a number?,Use recursion or loop,Divide number,Check if even,Use bitwise operations,TRUE,1|2,0,,
45,How to check if a binary tree is balanced?,Compare heights of subtrees,Count nodes,Check leaf nodes,Use level order traversal,FALSE,1,0,,
46,How to implement a queue using stacks?,Use two stacks,Use one stack,Use array,Use linked list,FALSE,1,0,,
47,How to find the longest common subsequence?,Use dynamic programming,Compare characters,Sort strings,Use recursion,FALSE,1,0,,
48,How to detect a cycle in a graph?,Use DFS or BFS,Count nodes,Sort edges,Use hash table,TRUE,1|2,0,,
49,How to implement a binary tree traversal?,Use inorder, preorder, or postorder,Sort nodes,TRUE,1|2,0,,
50,How to solve the knapsack problem?,Use dynamic programming,Greedy approach,Brute force,Random selection,FALSE,2,0,,
51,How to remove duplicates from a sorted array in-place?,Use two-pointer technique,Create a new array,Sort array first,Use hash set,FALSE,1,0,python,"def remove_duplicates(arr):
    if not arr:
        return 0
    write_index = 1
    for i in range(1, len(arr)):
        if arr[i] != arr[i-1]: 
            arr[write_index] = arr[i]
            write_index += 1
    return write_index"
52,How to implement a stack using two queues?,Use two queues with swap,Use one queue,Use array,Use linked list,FALSE,1,0,python,"from collections import deque
class Stack:
    def __init__(self):
        self.q1 = deque()
        self.q2 = deque()
    def push(self, x):
        self.q2.append(x)
        while self.q1:
            self.q2.append(self.q1.popleft())
        self.q1, self.q2 = self.q2, self.q1"
53,How to find the intersection of two arrays?,Use hash set,Sort and merge,Use nested loops,Count frequencies,FALSE,1,0,python,"def intersection(nums1, nums2):
    set1 = set(nums1)
    result = set()
    for num in nums2:
        if num in set1:
            result.add(num)
    return list(result)"
54,How to rotate an array by k positions?,Use array slicing,Create new array,Swap elements k times,Use recursion,FALSE,1,0,python,"def rotate_array(arr, k):
    k = k % len(arr)
    arr[:] = arr[-k:] + arr[:-k]"
55,How to implement a binary search tree insertion?,Use recursion,Use iteration,Sort array first,Use hash table,FALSE,1,0,python,"class Node:
    def __init__(self, val):
        self.val = val
        self.left = None
        self.right = None
def insert(root, val):
    if not root:
        return Node(val)
    if val < root.val:
        root.left = insert(root.left, val)
    else:
        root.right = insert(root.right, val)
    return root"
56,How to check if a string is a valid parenthesis sequence?,Use stack,Count brackets,Use recursion,Convert to list,FALSE,1,0,python,"def is_valid(s):
    stack = []
    for char in s:
        if char in '([{':
            stack.append(char)
        elif char in ')]}':
            if not stack or stack.pop() != '([{'[char.index(')]}')]:
                return False
    return not stack"
57,How to find the first non-repeating character in a string?,Use hash map,Sort string,Use array,Count characters,FALSE,1,0,python,"def first_non_repeating(s):
    count = {}
    for char in s:
        count[char] = count.get(char, 0) + 1
    for char in s:
        if count[char] == 1:
            return char
    return None"
58,How to implement quicksort?,Use pivot and partition,Swap adjacent elements,Divide and merge,Use heap,FALSE,1,0,python,"def quicksort(arr, low, high):
    if low < high:
        pi = partition(arr, low, high)
        quicksort(arr, low, pi - 1)
        quicksort(arr, pi + 1, high)
def partition(arr, low, high):
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i + 1], arr[high] = arr[high], arr[i + 1]
    return i + 1"
59,How to find the longest palindromic substring?,Use dynamic programming,Use two pointers,Sort string,Use stack,FALSE,1,0,python,"def longest_palindrome(s):
    n = len(s)
    start = 0
    max_len = 1
    for i in range(n):
        for j in range(i, n):
            if s[i:j+1] == s[i:j+1][::-1] and j - i + 1 > max_len:
                start = i
                max_len = j - i + 1
    return s[start:start + max_len]"
60,How to implement a trie for prefix search?,Use trie data structure,Use array,Use hash map,Use linked list,FALSE,1,0,python,"class TrieNode:
    def __init__(self):
        self.children = {}
        self.is_end = False
class Trie:
    def __init__(self):
        self.root = TrieNode()
    def insert(self, word):
        node = self.root
        for char in word:
            if char not in node.children:
                node.children[char] = TrieNode()
            node = node.children[char]
        node.is_end = True"
61,How to find the kth smallest element in an array?,Sort array,Use quickselect,Use heap,Use binary search,TRUE,1|2|3,0,python,"def kth_smallest(arr, k):
    arr.sort()
    return arr[k-1]"
62,How to reverse a linked list?,Iterate and swap pointers,Use recursion,Create new list,Use stack,TRUE,1|2,0,python,"class ListNode:
    def __init__(self, val=0):
        self.val = val
        self.next = None
def reverse_list(head):
    prev = None
    current = head
    while current:
        next_node = current.next
        current.next = prev
        prev = current
        current = next_node
    return prev"
63,How to implement a depth-first search on a graph?,Use recursion,Use iteration,Use queue,Use stack,TRUE,1|4,0,python,"def dfs(graph, node, visited):
    visited.add(node)
    for neighbor in graph[node]:
        if neighbor not in visited:
            dfs(graph, neighbor, visited)"
64,How to check if a number is prime?,Check divisibility up to square root,Check all numbers,Use recursion,Use hash table,FALSE,1,0,python,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True"
65,How to find the shortest path in an unweighted graph?,Use BFS,Use DFS,Use Dijkstra’s algorithm,Use A* algorithm,FALSE,1,0,python,"from collections import deque
def bfs_shortest_path(graph, start, end):
    queue = deque([(start, [start])])
    visited = {start}
    while queue:
        node, path = queue.popleft()
        if node == end:
            return path
        for neighbor in graph[node]:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append((neighbor, path + [neighbor]))
    return []"
66,How to implement a min heap?,Use array-based heap,Use linked list,Use stack,Use queue,FALSE,1,0,python,"class MinHeap:
    def __init__(self):
        self.heap = []
    def push(self, val):
        self.heap.append(val)
        self._sift_up(len(self.heap) - 1)
    def _sift_up(self, index):
        parent = (index - 1) // 2
        if index > 0 and self.heap[parent] > self.heap[index]:
            self.heap[parent], self.heap[index] = self.heap[index], self.heap[parent]
            self._sift_up(parent)"
67,How to find the length of a linked list?,Traverse and count nodes,Use recursion,Use hash table,Use array,TRUE,1|2,0,python,"class ListNode:
    def __init__(self, val=0):
        self.val = val
        self.next = None
def get_length(head):
    count = 0
    current = head
    while current:
        count += 1
        current = current.next
    return count"
68,How to implement a sliding window maximum?,Use deque,Use heap,Use array,Sort window,FALSE,1,0,python,"from collections import deque
def max_sliding_window(nums, k):
    result = []
    window = deque()
    for i in range(len(nums)):
        while window and window[0] <= i - k:
            window.popleft()
        while window and nums[window[-1]] <= nums[i]:
            window.pop()
        window.append(i)
        if i >= k - 1:
            result.append(nums[window[0]])
    return result"
69,How to check if two binary trees are identical?,Use recursion,Use iteration,Compare level order,Use hash table,FALSE,1,0,python,"class TreeNode:
    def __init__(self, val=0):
        self.val = val
        self.left = None
        self.right = None
def is_same_tree(p, q):
    if not p and not q:
        return True
    if not p or not q or p.val != q.val:
        return False
    return is_same_tree(p.left, q.left) and is_same_tree(p.right, q.right)"
70,How to implement a function to flatten a nested list?,Use recursion,Use iteration,Use stack,Use queue,TRUE,1|3,0,python,"def flatten(nested_list):
    result = []
    for item in nested_list:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result"
